,country,times,win,goals,rate of winning,Average goal
44,伊拉克,-0.7948662717204273,-0.6180627912913246,-0.6690874508368222,-1.3558831472409243,-1.2604310263787362
45,阿拉伯联合酋长国,-0.7948662717204273,-0.6180627912913246,-0.6468388008089959,-1.3558831472409243,-0.6572578635879465
46,美国,0.46341624335824133,-0.039675928114279044,0.13186395016492114,-0.03950793448746369,0.16525099476312963
47,哥斯达黎加,-0.165725014181093,-0.2565710018056711,-0.2686117503359505,0.15246345070574918,0.04644415966797475
48,喀麦隆,0.043988738332018426,-0.3288693597028018,-0.2908604003637767,-0.41152701635257244,-0.44745850261723674
49,爱尔兰,-0.37543876669420445,-0.4734660754970632,-0.46884960058638636,-0.5204911853012283,-0.47166612119078033
50,挪威,-0.5851525192073159,-0.4734660754970632,-0.535595550669865,0.0016287909110817619,-0.28027463684370296
51,尼日利亚,-0.03989676267322615,-0.18427264390854042,-0.1796171502246457,0.1955590677899397,0.11825048857163992
52,罗马尼亚,-0.03989676267322615,-0.039675928114279044,-0.023876600029862288,0.7127064728002275,0.7214236513624297
53,沙特阿拉伯,-0.2496105151863376,-0.40116771759993247,-0.44660095055856014,-0.3377491936269198,-0.619559540913522
54,希腊,-0.5012670182020713,-0.4734660754970632,-0.5800928507255173,-0.26987359671931943,-0.9588444449833412
55,牙买加,-0.7948662717204273,-0.5457644333941939,-0.6245901507811698,0.4541327702950837,-0.05408470079715688
56,塞尔维亚,-0.37543876669420445,-0.3288693597028018,-0.44660095055856014,0.3149007766384679,-0.3324723143929059
57,南非,-0.5432097687046936,-0.4734660754970632,-0.44660095055856014,-0.14920586888358567,0.3480307410633697
58,日本,-0.03989676267322615,-0.2565710018056711,-0.2463631003081243,-0.06301463471520417,-0.1402522954815553
59,克罗地亚,0.043988738332018426,0.17721914557711305,0.08736665010926872,1.241096212702044,0.8900124235710356
60,中国,-0.7948662717204273,-0.6180627912913246,-0.6913361008646484,-1.3558831472409243,-1.8636041891695254
61,突尼斯,-0.2915532656889599,-0.4734660754970632,-0.40210365050290775,-0.6318767802265212,-0.2953539659134726
62,塞内加尔,-0.5851525192073159,-0.40116771759993247,-0.44660095055856014,0.6803847599870848,0.6244851073424813
63,斯洛文尼亚,-0.6690380202125604,-0.5457644333941939,-0.5800928507255173,-0.45087518847292035,-0.35567128219255156
64,厄瓜多尔,-0.5012670182020713,-0.3288693597028018,-0.46884960058638636,0.8161359538022855,-0.05408470079715688
65,土耳其,-0.5012670182020713,-0.2565710018056711,-0.2463631003081243,1.3591407290630881,1.7554347875752117
66,特立尼达和多巴哥,-0.7948662717204273,-0.6180627912913246,-0.6913361008646484,-1.3558831472409243,-1.8636041891695254
67,安哥拉,-0.7948662717204273,-0.6180627912913246,-0.6690874508368222,-1.3558831472409243,-1.2604310263787362
68,捷克共和国,-0.7948662717204273,-0.5457644333941939,-0.6245901507811698,0.4541327702950837,-0.05408470079715688
69,多哥,-0.7948662717204273,-0.6180627912913246,-0.6690874508368222,-1.3558831472409243,-1.2604310263787362
70,科特迪瓦,-0.5432097687046936,-0.40116771759993247,-0.40210365050290775,0.4541327702950837,0.7501461829238958
71,迦纳,-0.41738151719682676,-0.3288693597028018,-0.40210365050290775,0.4541327702950837,0.09670858990054036
72,乌克兰,-0.7109807707151827,-0.4734660754970632,-0.5800928507255173,0.8161359538022855,-0.05408470079715688
73,新西兰,-0.6690380202125604,-0.6180627912913246,-0.6023415007533436,-1.3558831472409243,-0.6572578635879465
