home_team,away_team,home_times,away_times,home_win,away_win,home_goals,away_goals,home_r_win,away_r_win,home_Ave_goal,away_Ave_goal,result
匈牙利,瑞士,32,37,15,12,87,50,0.46875,0.32432432432432434,2.71875,1.351351351351351,1
巴西,捷克斯洛伐克,109,30,73,11,229,44,0.6697247706422018,0.36666666666666653,2.1009174311926606,1.4666666666666666,1
巴西,意大利,109,83,73,45,229,128,0.6697247706422018,0.5421686746987951,2.1009174311926606,1.5421686746987953,0
匈牙利,瑞典,32,51,15,19,87,80,0.46875,0.3725490196078432,2.71875,1.568627450980392,1
巴西,瑞典,109,51,73,19,229,80,0.6697247706422018,0.3725490196078432,2.1009174311926606,1.568627450980392,1
匈牙利,意大利,32,83,15,45,87,128,0.46875,0.5421686746987951,2.71875,1.5421686746987953,0
巴西,墨西哥,109,57,73,16,229,60,0.6697247706422018,0.2807017543859649,2.1009174311926606,1.0526315789473684,1
智利,英格兰,33,69,11,29,40,91,0.3333333333333333,0.42028985507246375,1.2121212121212122,1.318840579710145,0
意大利,瑞典,83,51,45,19,128,80,0.5421686746987951,0.3725490196078432,1.5421686746987953,1.568627450980392,0
西班牙,美国,63,33,30,8,99,37,0.4761904761904762,0.24242424242424246,1.5714285714285714,1.1212121212121209,1
瑞士,南斯拉夫,37,33,12,14,50,55,0.32432432432432434,0.42424242424242425,1.351351351351351,1.6666666666666667,0
巴西,瑞士,109,37,73,12,229,50,0.6697247706422018,0.32432432432432434,2.1009174311926606,1.351351351351351,-1
墨西哥,南斯拉夫,57,33,16,14,60,55,0.2807017543859649,0.42424242424242425,1.0526315789473684,1.6666666666666667,0
智利,西班牙,33,63,11,30,40,99,0.3333333333333333,0.4761904761904762,1.2121212121212122,1.5714285714285714,0
英格兰,美国,69,33,29,8,91,37,0.42028985507246375,0.24242424242424246,1.318840579710145,1.1212121212121209,0
巴拉圭,瑞典,27,51,7,19,30,80,0.25925925925925924,0.3725490196078432,1.1111111111111112,1.568627450980392,-1
巴西,南斯拉夫,109,33,73,14,229,55,0.6697247706422018,0.42424242424242425,2.1009174311926606,1.6666666666666667,1
玻利维亚,乌拉圭,6,56,0,24,1,87,0.0,0.42857142857142855,0.16666666666666666,1.5535714285714286,0
智利,美国,33,33,11,8,40,37,0.3333333333333333,0.24242424242424246,1.2121212121212122,1.1212121212121209,1
英格兰,西班牙,69,63,29,30,91,99,0.42028985507246375,0.4761904761904762,1.318840579710145,1.5714285714285714,0
意大利,巴拉圭,83,27,45,7,128,30,0.5421686746987951,0.25925925925925924,1.5421686746987953,1.1111111111111112,1
墨西哥,瑞士,57,37,16,12,60,50,0.2807017543859649,0.32432432432432434,1.0526315789473684,1.351351351351351,0
巴西,瑞典,109,51,73,19,229,80,0.6697247706422018,0.3725490196078432,2.1009174311926606,1.568627450980392,1
西班牙,乌拉圭,63,56,30,24,99,87,0.4761904761904762,0.42857142857142855,1.5714285714285714,1.5535714285714286,-1
巴西,西班牙,109,63,73,30,229,99,0.6697247706422018,0.4761904761904762,2.1009174311926606,1.5714285714285714,1
瑞典,乌拉圭,51,56,19,24,80,87,0.3725490196078432,0.42857142857142855,1.568627450980392,1.5535714285714286,0
